id,campus,area,order,source_sheet,source_row,title_en,title_cn,artist_en,artist_cn,source_media,image_file,image_url,used_ai_super_resolution,source_width,source_height,output_width,output_height
gz-area1-01,guangzhou,1,1,GZ,2,Immersive Ephemeral Biomes,超现实生物魔法,cocolinux @ Dreamcore XR Labs,cocolinux @ 梦核XR实验室,xl/media/image1.png,gz-area1-01-immersive-ephemeral-biomes.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area1-01-immersive-ephemeral-biomes.webp,False,2752,1536,2752,1536
gz-area1-02,guangzhou,1,2,GZ,3,Abject Space,Abject Space,Adam Nash,Adam Nash,xl/media/image2.png,gz-area1-02-abject-space.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area1-02-abject-space.webp,True,1920,1080,3200,1800
gz-area2-01,guangzhou,2,1,GZ,4,Arc de Resonance,共振之弧,UnCalculated Studio,UnCalculated Studio,xl/media/image3.jpeg,gz-area2-01-arc-de-resonance.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-01-arc-de-resonance.webp,True,2048,1152,3200,1800
gz-area2-02,guangzhou,2,2,GZ,5,The World Tree,世界树,"Wenjing Mao, Yuxuan Chen, Yulin Yao, Shuyue Li, Hao Li",毛雯婧、陈聿暄、姚钰琳、李姝玥、李昊,xl/media/image4.jpeg,gz-area2-02-the-world-tree.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-02-the-world-tree.webp,False,4096,2321,3200,1813
gz-area2-03,guangzhou,2,3,GZ,6,Glanville Butterfly World,格兰维尔蝴蝶世界,Bingchen Duan,段秉辰,xl/media/image5.jpeg,gz-area2-03-glanville-butterfly-world.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-03-glanville-butterfly-world.webp,False,2667,1500,2667,1500
gz-area2-04,guangzhou,2,4,GZ,7,Soulmate,灵伴,Axol (Jo Shen),Axol (沈周),xl/media/image6.png,gz-area2-04-soulmate.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-04-soulmate.webp,True,1920,960,3200,1600
gz-area2-05,guangzhou,2,5,GZ,8,Black-box Photosynthesis,黑箱光合,"Joshua Nijiati Alimujiang, Peter Hanappe, Rachel Armstrong, Carolin Hobkinson, Eliza Calmat","倪嘉荑·阿力木江, 彼得·哈纳佩, 瑞秋·阿姆斯特朗, 卡罗琳·霍布金森, 伊丽莎·卡尔马特",xl/media/image7.jpeg,gz-area2-05-black-box-photosynthesis.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-05-black-box-photosynthesis.webp,False,2637,1472,2637,1472
gz-area2-06,guangzhou,2,6,GZ,9,Cloud of the seasons,季节之云,Arnaud Laffond,Arnaud Laffond,xl/media/image8.jpeg,gz-area2-06-cloud-of-the-seasons.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-06-cloud-of-the-seasons.webp,True,1920,1080,3200,1800
gz-area2-07,guangzhou,2,7,GZ,10,Bug in my Software,我软件中的虫,Alina Nazmeeva,Alina Nazmeeva,xl/media/image9.jpeg,gz-area2-07-bug-in-my-software.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-07-bug-in-my-software.webp,False,2627,1125,2627,1125
gz-area2-08,guangzhou,2,8,GZ,11,Kandinsky at HKUST(GZ),康定斯基在校园,"Yu-Ao WANG, Kang ZHANG",汪宇翱，张康,xl/media/image10.jpeg,gz-area2-08-kandinsky-at-hkust-gz.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/mr-artworks-2026/enhanced/gz-area2-08-kandinsky-at-hkust-gz.webp,True,1920,1080,3200,1800
