id,sort_key,source_sheet,source_row,title_en,title_cn,artist_en,artist_cn,source_media,image_file,poster_url,used_ai_super_resolution,source_width,source_height,output_width,output_height
1,apparition,VR,8,Apparition,镜花,"Yilin Luo, Xuanyi Zhang, Jianwei Yang, Qiushi Zhou",罗伊琳，张轩逸，杨剑玮，周秋实,xl/media/image7.png,vr-01-apparition.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-01-apparition.webp,True,1080,1920,1800,3200
2,astra,VR,3,Astra,Astra,Eliza McNitt,Eliza McNitt,xl/media/image2.png,vr-02-astra.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-02-astra.webp,False,2560,1440,2560,1440
3,awakening the water spirits,VR,4,Awakening the Water Spirits,唤醒水灵,Elke Reinhuber & Benjamin Seide,Elke Reinhuber & Benjamin Seide,xl/media/image3.jpeg,vr-03-awakening-the-water-spirits.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-03-awakening-the-water-spirits.webp,False,2667,1500,2667,1500
4,bug in my software,VR,6,Bug in my Software,我软件中的虫,Alina Nazmeeva,Alina Nazmeeva,xl/media/image5.jpeg,vr-04-bug-in-my-software.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-04-bug-in-my-software.webp,False,2627,1125,2627,1125
5,mother's body remembers,VR,10,Mother's Body Remembers,母亲之身，记忆之所,Benedict Yu,Benedict Yu,xl/media/image9.png,vr-05-mother-s-body-remembers.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-05-mother-s-body-remembers.webp,True,1920,1080,3200,1800
6,my flower,VR,11,My Flower,小花,"Ziwen Meng, Wei Song, Jie Yang, Shuo Zhang",孟子文，宋玮， 杨洁， 张硕,xl/media/image10.png,vr-06-my-flower.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-06-my-flower.webp,True,1920,1080,3200,1800
7,"respire 2.0"" immersive interactive vr artwork",VR,7,"""RESPIRE 2.0"" immersive interactive VR artwork",Respire 2.0 沉浸式互动 VR 作品,"Artistic Directors: Philippe Pasquier, Mirjana Prpa, Katerina Semenko 3D Artist: Katerina Semenko Interaction Design: Mirjana Prpa Programmer: Szeka Tse Research Assistant: Dhruv Adhia Audio: Philippe Pasquier, Keon Leigh, Ge Liu",艺术总监：Philippe Pasquier、Mirjana Prpa、Katerina Semenko；3D 艺术家：Katerina Semenko；交互设计：Mirjana Prpa；程序：Szeka Tse；研究助理：Dhruv Adhia；声音：Philippe Pasquier、Keon Leigh、Ge Liu,xl/media/image6.jpeg,vr-07-respire-2-0-immersive-interactive-vr-artwork.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-07-respire-2-0-immersive-interactive-vr-artwork.webp,True,1920,1080,3200,1800
8,the cat ghost,VR,12,The Cat Ghost,猫鬼传说,"Wang Lei, Wang Yi, Danqi Zheng, Duan Wenkai, Zhang Zige, Youchun Liu",王雷，王漪，郑丹琪，段雯锴，张自歌，刘幼春,xl/media/image11.jpeg,vr-08-the-cat-ghost.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-08-the-cat-ghost.webp,True,2640,1485,3200,1800
9,unfolding touch,VR,9,Unfolding Touch,展 • 触,"Soft Robotics - XRIM Labs (S.G. van Dipten, M.C. Chan, Y. C. Liang, C.K. Leung, K. Shatilov, R.B.N. Scharff, T. Braud)",柔性机器人 — XRIM 实验室（S. G. van Dipten、陈鸣俊、梁宇辰、梁楚荞、Kirill Shatilov、沙博文教授、Tristan Braud 教授）,xl/media/image8.png,vr-09-unfolding-touch.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-09-unfolding-touch.webp,True,1600,1066,3200,2132
10,we are the primitives of a new era,VR,2,We Are The Primitives of a New Era,新纪元的原始人,Aldo Tambellini / Topos Studio,Aldo Tambellini / Topos Studio,xl/media/image1.jpeg,vr-10-we-are-the-primitives-of-a-new-era.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-10-we-are-the-primitives-of-a-new-era.webp,False,2652,1492,2652,1492
11,what is it like to be a memory,VR,5,What is it like to be a memory,作为记忆是什么样的体验？,cocolinux@Dreamcore XR Labs,cocolinux@梦核 XR 实验室,xl/media/image4.jpeg,vr-11-what-is-it-like-to-be-a-memory.webp,https://surreality-1419044809.cos.ap-hongkong.myqcloud.com/enhanced/vr-11-what-is-it-like-to-be-a-memory.webp,True,2637,1472,3200,1786
